russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,740158,75
mail.ru,mail.ru/,Почта Mail.Ru,7000387,77
hsdigital,www.hsdigital.ru/,Shkulev Media Holding,3667306,82
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,723678,90
bazr.ru,bazr.ru/,BAZR.ru - Смотреть бесплатно русские сериалы,2934553,92
TASS_total,tass.ru,ТАСС - Новости в России и мире,647330,84
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,2759857,94
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,601771,91
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,2752782,85
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,573489,76
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),2684220,92
life.ru,life.ru/,LIFE.RU — последние новости России и мира,568499,79
kp,kp.ru,Комсомольская правда-Digital,2524349,87
mail-my,my.mail.ru/,Мой Мир Mail.Ru,554531,78
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,2485592,88
Sport24,sport24.ru,Sport24,537633,71
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,2377214,84
ukraina.ru,ukraina.ru/,ukraina.ru,496880,92
mic_izvestia,iz.ru,Известия,2266814,87
fontanka.ru,fontanka.ru/,Фонтанка.Ру - новости Петербурга,478108,86
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",2071024,87
7days.ru,7days.ru/,"7Дней.ру - Всё о звездах! Новости, интервью, фото и видео звезд",468709,74
Lenta,lenta.ru,Lenta.Ru,2060404,86
irecommend.ru,irecommend.ru/,IRecommend - отзывы о товарах и услугах,468196,76
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1892857,90
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1627618,90
1000.menu,1000.menu/,🍅 Кулинарные рецепты 🍰 1000.menu 🍔🥑,451288,74
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",1402798,89
kino-teatr.ru,www.kino-teatr.ru/,"Кино-Театр.РУ - интервью, статьи, премьеры, новости кино и театра",429197,70
news.ru,news.ru/,NEWS.ru ─ Информационный портал,1399872,82
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",424215,89
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1308839,80
hsdigital/wn/starhit,starhit.ru,Starhit.ru - Новости шоу-бизнеса,417606,73
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,1259697,80
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1209021,84
zr.ru,zr.ru/,Журнал &quot;За рулем&quot;. Автомобили в России,415484,76
regnum,regnum.ru,ИА Регнум,1137580,94
tverigrad.ru,tverigrad.ru/,Tverigrad.ru | Главный информационный портал Тверской области,410117,79
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Shkulev Media Holding,1092712,71
1Mediainvest,1mediainvest.ru/,1MI - федеральный медиахолдинг,1067362,89
rusprofile.ru,rusprofile.ru/,Rusprofile.ru - бесплатная проверка контрагента,391221,92
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,1042998,86
progorodsamara.ru,progorodsamara.ru/,ПроГород Самара - новости Cамары,390948,82
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,992869,83
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,369275,75
RGRU,www.rg.ru,Российская Газета: издание Правительства РФ,978532,91
360tv,360tv.ru,Телеканал 360°,349771,94
russian.rt.com,russian.rt.com/,RT на русском,933306,89
hsdigital/rn/smi/66,e1.ru,Е1.RU - Екатеринбург онлайн. Shkulev Digital,348790,91
progorod,progorod43.ru,Сеть порталов PRO Город,848616,82
5-tv.ru,5-tv.ru/,Пятый канал,344938,91
Sportbox,www.sportbox.ru,Sportbox.ru,777064,85
novorosinform.org,www.novorosinform.org/,Информационное агентство «Новороссия»,343965,94
hibiny.com,www.hibiny.com/,Хибины.ru,760743,65
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",343304,84
gdz-raketa.ru,gdz-raketa.ru/,ГДЗ,744569,93
vedomosti.ru,vedomosti.ru/,Ведомости - ежедневная деловая газета,342779,74
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",324548,72
tk_m24,www.m24.ru/,Сетевое издание M24.ru,315065,77
osnmedia.ru,www.osnmedia.ru/,Общественная Служба Новостей,310553,92
